AIRLINE_NAME,PASSENGERS_FROM_INDIA,PASSENGERS_TO_INDIA
AIR INDIA,2846774,2804989
AIR INDIA EXPRESS,1364578,1210488
INDIGO,834486,780250
JET AIRWAYS,3546707,3520997
SPICEJET,563251,521663
AEROFLOT,73123,65814
AEROLOGIC,0,0
AIR ARABIA,904587,867826
AIR ASIA BERHAD,267034,271537
AIR AUSTRAL,1824,1837
AIR CHINA,41280,37993
AIR FRANCE,203328,183593
AIR MANAS,7238,6858
AIR MAURITIUS,86082,82560
AIR ASTANA,27541,25448
AIR SEYCHELLES,18098,18619
ALL NIPPON AIRWAYS,58242,45378
ARIANA AFGHAN,20318,18600
ASIANA AIRLINES,34525,32896
AUSTRIAN AIRLINES,60198,54211
BANGKOK AIRWAYS,45004,44205
BHUTAN AIRLINES,17645,18369
BIMAN BANGLADESH,53276,45365
BRITISH AIRWAYS,453521,399306
BUDHHA AIR,773,703
CATHAY PACIFIC,408225,392095
CHINA AIRLINES LTD,53533,14927
CHINA EASTERN AIRLINES,88925,88688
CHINA SOUTHERN ,77060,73617
DELTA AIRLINES,23140,22640
DRAGON AIR,87604,89828
DRUK AIR,35182,38667
EGYPT AIR,16071,13279
EL-AL-ISRAEL,31064,29524
EMIRATES AIRLINE,2745263,2629584
ETHIOPIAN AIRLINES,68475,62919
ETIHAD AIRLINES,1110001,1034289
EVA AIRWAYS,0,0
FEDERAL EXPRESS,0,0
FINN AIR,44381,41741
FLY DUBAI,229133,210671
GULF AIR,407886,402314
IRAN AIR,17468,17638
IRAQI AIRWAYS,3445,2586
ISLAND AVIATION SERVICES,45956,45868
JAPAN AIRLINES,50518,47205
KALITTA AIR,0,0
KAM AIR,25833,33809
KENYA AIRWAYS,101079,93251
KLM AIRLINES,113184,106282
KOREAN AIR,27757,24765
KUWAIT AIRWAYS,272047,245409
LUFTHANSA,568047,544317
MAHAN AIR,14746,14534
MALAYSIA AIRLINES,456162,443062
MALINDO AIRWAYS,224493,244216
MARTIN AIR HOLLAND,0,0
MIHIN LANKA,67752,66228
MYANMAR AIRLINES,7350,7583
NEPAL AIRLINES CORPORATION,31323,32117
OMAN AIR,710653,668052
PAK INTERNATIONAL,25510,13142
QATAR AIRWATYS,737428,691642
REGENT AIRWAYS,52997,51085
SAFI AIRWAYS,24215,25126
SAUDIA,734515,664949
SILK AIR,224902,207328
SINGAPORE AIRLINES,606430,581329
SOUTHA AFRICAN AIRLINES,11916,8483
SRILNKAN AIRWAYS,658409,635966
SWISS AIR,152729,135720
TAJIK AIR,2043,4253
THAI AIRWAYS,690969,636880
TIGER AIRWAYS,312348,320553
TRANSAERO AIRLINES,32524,29383
TURKISH AIRLINES,188600,181202
TURKMENISTAN AIRLINES,41055,41619
UNITED AIRLINES,157844,150181
UNITED AIRLINES BANGLADESH LTD.,10929,7295
UNITED PARCEL SERVICES,0,0
UZBEKISTAN AIRWAYS,50319,50632
VIRGIN ATLANTIC AIRLINES,77905,71769
YEMENIA AIRWAYS,8519,6906
THAI AIR ASIA,29273,55764
AIR CANADA,8077,9532
QATAR AIRWAYS,313780,346657
SCAT AIRLINES,1227,1490
SHANDONG AIRLINES,1412,1569
THOMAS COOK AIRLINES U.K.,9892,9975
