AIRLINE_NAMES,PASSENGER_TO_INDIA,PASSENGER_FROM_INDIA
AEROFLOT,96338,97319
AEROLOGIC,0,0
AIR ARABIA,890705,903148
AIR ASIA BERHAD,370852,355713
AIR ASIA X,50247,52731
AIR ASTANA,33337,35482
AIR AUSTRAL,3930,3357
AIR CANADA,69094,69982
AIR CHINA,40948,41888
AIR FRANCE,199202,204547
AIR INDIA,2880236,2857961
AIR INDIA EXPRESS,1484070,1591686
AIR MANAS,10019,11953
AIR MAURITIUS,95697,100371
AIR SEYCHELLES,24116,32274
ALL NIPPON AIRWAYS,79456,86601
ARIANA AFGHAN,17419,17414
ASIANA AIRLINES,42582,40263
AUSTRIAN AIRLINES,11100,14133
BANGKOK AIRWAYS,43542,45488
BHUTAN AIRLINES,22832,22596
BIMAN BANGLADESH,63213,68434
BRITISH AIRWAYS,485845,528839
BUDDHA AIR,323,345
BUDHHA AIR,87,56
CARGOLUX AIRLINES INTERNATIONAL S.A.,0,0
CATHAY PACIFIC,377361,382874
CHINA AIRLINES LTD,22253,55972
CHINA EASTERN AIRLINES,106657,108380
CHINA SOUTHERN ,98773,99698
DRAGON AIR,106816,107047
DRUK AIR,49436,47942
EGYPT AIR,14505,16249
EL-AL-ISRAEL,28986,29945
EMIRATES AIRLINE,2718093,2749821
ETHIOPIAN AIRLINES,139846,139367
ETIHAD AIRLINES,1358261,1333847
EVA AIRWAYS,0,0
FEDERAL EXPRESS,0,0
FINN AIR,40912,42341
FLY DUBAI,242232,245887
GULF AIR,434873,419766
INDIGO,874649,922711
IRAN AIR,15160,14974
IRAQI AIRWAYS,4184,4571
ISLAND AVIATION SERVICES,49840,52548
JAPAN AIRLINES,44485,50292
JET AIRWAYS,3813408,3845817
KALITTA AIR,0,0
KAM AIR,46774,46067
KENYA AIRWAYS,71369,77323
KLM AIRLINES,103784,109524
KOREAN AIR,27189,26942
KUWAIT AIRWAYS,324354,336856
LUFTHANSA,575380,609370
MAHAN AIR,20180,20703
MALAYSIA AIRLINES,359690,359520
MALINDO AIRWAYS,304845,311342
MEGA MALDIVES AIRLINES,630,880
MIHIN LANKA,117031,125374
MYANMAR AIRLINES,12669,12464
NEPAL AIRLINES CORPORATION,72210,71310
NOVO AIR,1478,1141
OMAN AIR,872980,855780
PAK INTERNATIONAL,9537,18617
QATAR AIRWAYS,1051521,1061354
REGENT AIRWAYS,86846,95978
ROSSIYA AIRLINES,23910,19917
SAFI AIRWAYS,27956,26116
SAUDIA,741761,776484
SCAT AIRLINES,4319,3908
SCOOT PTE LTD.,91708,80902
SHANDONG AIRLINES,12519,12534
SILK AIR,233924,250825
SINGAPORE AIRLINES,551769,566794
SPICEJET,803556,834039
SRILNKAN AIRWAYS,692881,704705
SWISS AIR,133963,152678
TAJIK AIR,3991,3891
THAI AIR ASIA,106706,105519
THAI AIRWAYS,629820,677610
THAI SMILE AIRWAYS,10207,11617
THOMAS COOK AIRLINES U.K.,11524,14483
TIGER AIRWAYS,299329,316084
TRANSAERO AIRLINES,0,0
TURKISH AIRLINES,226284,229444
TURKMENISTAN AIRLINES,40811,39812
UNITED AIRLINES,157541,166118
UNITED AIRLINES BANGLADESH LTD.,575,1727
UNITED PARCEL SERVICES,0,0
UZBEKISTAN AIRWAYS,50966,50792
VIRGIN ATLANTIC AIRLINES,71100,80468
YEMENIA AIRWAYS,2182,2830
